DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
3-Jan-17,EGAD,Eaagads Ltd,8.2,14,27.25,28,27.75,27.25,0.5,1.83%,"3,500",NaN
3-Jan-17,KUKZ,Kakuzi Plc,300,423.5,280,280,280,309,-29,9.39%,200,NaN
3-Jan-17,KAPC,Kapchorua Tea Kenya Plc,59,95,80,80,80,80,NaN,NaN,NaN,NaN
3-Jan-17,LIMT,Limuru Tea Plc,385,475,530,530,530,530,NaN,NaN,100,NaN
3-Jan-17,SASN,Sasini Plc,14.8,19.6,19.2,21,19.9,19.2,0.7,3.65%,"4,900",NaN
3-Jan-17,WTK,Williamson Tea Kenya Plc,92,165,178,178,178,178,NaN,NaN,NaN,NaN
3-Jan-17,CGEN,Car and General (K) Ltd,20,26,27,27,27,27,NaN,NaN,NaN,NaN
3-Jan-17,ABSA,ABSA Bank Kenya Plc,9,14.2,8.45,8.95,8.7,9.1,-0.4,4.40%,"29,700",NaN
3-Jan-17,COOP,Co-operative Bank of Kenya Ltd,10.5,17,13,13.5,13,13.2,-0.2,1.52%,"177,500",10.83
3-Jan-17,DTK,Diamond Trust Bank Kenya Ltd,67.75,127,118,118,118,118,NaN,NaN,800,NaN
3-Jan-17,EQTY,Equity Group Holdings Plc,30.5,55.5,30,30,30,30,NaN,NaN,"1,986,200",NaN
3-Jan-17,HFCK,HF Group Ltd,3.49,7.9,13.45,14,13.65,14,-0.35,2.50%,"20,800",12.41
3-Jan-17,IMH,I & M Holdings Plc,43.1,59,88,89,88.25,90,-1.75,1.94%,500,44.13
3-Jan-17,KCB,KCB Group Plc,33.75,55.5,28.75,29.25,29,28.75,0.25,0.87%,"1,580,800",NaN
3-Jan-17,NBK,National Bank of Kenya Ltd,3.4,4.33,7.5,7.5,7.5,7.2,0.3,4.17%,"13,000",6.82
3-Jan-17,NCBA,NCBA Group Plc,24.9,40,25,26,25.4,26,-0.6,2.31%,"3,500",23.09
3-Jan-17,SBIC,Stanbic Holdings Plc,76.5,118.5,70.5,70.5,70.5,70.5,NaN,NaN,NaN,NaN
3-Jan-17,SCBK,Standard Chartered Bank Kenya Ltd,160,220,186,190,188,189.75,-1.75,0.92%,800,NaN
3-Jan-17,DCON,Deacons (East Africa) Plc,0.45,0.45,6,6.1,6.05,6.05,NaN,NaN,"3,300",NaN
3-Jan-17,EVRD,Eveready East Africa Ltd,0.75,1.28,2.35,2.35,2.35,2.35,NaN,NaN,"2,600",NaN
3-Jan-17,XPRS,Express Kenya Plc,4,7.34,3.55,3.55,3.55,3.55,NaN,NaN,NaN,NaN
3-Jan-17,KQ,Kenya Airways Plc,0.8,5.5,5.8,5.9,5.8,5.85,-0.05,0.85%,"20,300",23.2
3-Jan-17,LKL,Longhorn Publishers Plc,4.26,8.6,4.75,4.9,4.8,4.8,NaN,NaN,"1,600",NaN
3-Jan-17,NBV,Nairobi Business Ventures Ltd,0.49,0.99,7.9,7.9,7.9,7.9,NaN,NaN,200,NaN
3-Jan-17,NMG,Nation Media Group Plc,13,49,90,94,93,93,NaN,NaN,700,NaN
3-Jan-17,SMER,Sameer Africa Plc,1.91,4.69,2.8,3,2.8,2.8,NaN,NaN,"14,400",NaN
3-Jan-17,SGL,Standard Group Plc,18,31,18,18,18,16.5,1.5,9.09%,500,NaN
3-Jan-17,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,21.15,20.5,20.5,20.5,20.5,NaN,NaN,NaN,NaN
3-Jan-17,UCHM,Uchumi Supermarket Plc,0.23,0.46,3.6,4,3.75,3.95,-0.2,5.06%,"32,900",NaN
3-Jan-17,SCAN,WPP ScanGroup Plc,10.75,25,17.5,18.4,17.65,18.1,-0.45,2.49%,"5,600",NaN
3-Jan-17,ARM,ARM Cement Plc,5.55,5.55,23.25,25.75,23.5,25.5,-2,7.84%,700,NaN
3-Jan-17,BAMB,Bamburi Cement Ltd,26,120,160,160,160,160,NaN,NaN,"1,900",NaN
3-Jan-17,CRWN,Crown Paints Kenya Plc,45,85,42,42,42,42,NaN,NaN,NaN,NaN
3-Jan-17,CABL,East African Cables Ltd,1.44,3.98,5.95,6,5.95,5.95,NaN,NaN,"2,900",NaN
3-Jan-17,PORT,East African Portland Cement Ltd,12.6,18.5,23.5,23.5,23.5,23.5,NaN,NaN,NaN,NaN
3-Jan-17,KENO,KenolKobil Ltd,12.8,23,14.2,15,14.95,14.9,0.05,0.34%,"1,552,900",NaN
3-Jan-17,KEGN,Kenya Electricity Generating Company Plc,4,6.5,5.7,5.85,5.75,5.8,-0.05,0.86%,"82,500",NaN
3-Jan-17,KPLC-P4,KPLC-P4,5,5,5.5,5.5,5.5,5.5,NaN,NaN,NaN,NaN
3-Jan-17,KPLC-P7,KPLC-P7,6,6,6,6,6,6,NaN,NaN,NaN,NaN
3-Jan-17,KPLC,Kenya Power and Lighting Company Plc,1.63,4.15,7.85,8.4,8,8.1,-0.1,1.23%,"25,500",NaN
3-Jan-17,TOTL,Total Kenya Ltd,22,30,17,17.5,17.05,17,0.05,0.29%,"4,500",NaN
3-Jan-17,UMME,Umeme Ltd,5.68,8.6,13,13,13,13.5,-0.5,3.70%,100,NaN
3-Jan-17,BRIT,Britam Holdings Plc,5.7,10.65,10.5,13.9,12.6,9.95,2.65,26.63%,"93,700",NaN
3-Jan-17,CIC,CIC Insurance Group Ltd,2,3.65,3.8,4,3.95,3.8,0.15,3.95%,"78,200",NaN
3-Jan-17,JUB,Jubilee Holdings Ltd,225,380.5,490,490,490,490,NaN,NaN,900,445.45
3-Jan-17,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,21.75,23,22.7,22.5,0.2,0.89%,"58,900",5.68
3-Jan-17,LBTY,Liberty Kenya Holdings Ltd,6.8,11,13.1,13.5,13.45,13.15,0.3,2.28%,"1,393,600",NaN
3-Jan-17,SLAM,Sanlam Kenya Plc,12.8,20,27.75,27.75,27.75,27.5,0.25,0.91%,100,NaN
3-Jan-17,CTUM,Centum Investment Company Plc,19.6,33.5,35,38.5,37.8,37.05,0.75,2.02%,"44,700",NaN
3-Jan-17,HAFR,Home Afrika Ltd,0.3,0.69,1.2,1.3,1.2,1.2,NaN,NaN,"30,500",NaN
3-Jan-17,KURV,Kurwitu Ventures Ltd,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",NaN,NaN,NaN,NaN
3-Jan-17,OCH,Olympia Capital Holdings Ltd,1.9,2.9,2.85,2.85,2.85,2.85,NaN,NaN,"7,800",NaN
3-Jan-17,TCL,Trans-Century Plc,1.42,4.03,7.3,7.4,7.35,6.8,0.55,8.09%,"1,900",NaN
3-Jan-17,NSE,Nairobi Securities Exchange Plc,6.5,13,14.2,15,14.6,14.65,-0.05,0.34%,"6,000",NaN
3-Jan-17,BOC,BOC Kenya Plc,53,72,83,83,83,82,1,1.22%,500,NaN
3-Jan-17,BAT,British American Tobacco Kenya Plc,305,545,909,909,909,909,NaN,NaN,NaN,NaN
3-Jan-17,CARB,Carbacid Investments Plc,7.1,9.4,13,13,13,13.4,-0.4,2.99%,100,NaN
3-Jan-17,EABL,East African Breweries Ltd,135,222.25,240,245,240,244,-4,1.64%,"52,600",NaN
3-Jan-17,FTGH,Flame Tree Group Holdings Ltd,0.76,3,4.8,4.8,4.8,5.1,-0.3,5.88%,"2,000",4.36
3-Jan-17,ORCH,Kenya Orchards Ltd,12.25,12.6,95,95,95,95,NaN,NaN,NaN,NaN
